"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22","Sample 23","Sample 24"
"Bacteria",7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
"Bacteria.Acidobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97219232695415,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97219232695415,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp4.Gp4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97219232695415,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp4.Gp4.Gp4U",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp4.Gp4.Gp4U.Gp4UU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria",205.647809844411,192.660550458716,214.655374781054,569.497200416421,284.092172379827,188.105442258766,165.907111756168,309.731545920497,163.438136884386,35.9951603145796,244.033513041697,130.800355106361,74.3083718799822,369.450237326506,110.879095798858,133.133613116532,77.299911120025,164.767238132665,133.170414823522,267.963496260956,686.701666267931,433.851472689085,90.2220428773793,283.082014319907
"Bacteria.Actinobacteria.Actinobacteria",205.647809844411,192.660550458716,214.655374781054,569.497200416421,284.092172379827,188.105442258766,165.907111756168,309.731545920497,163.438136884386,35.9951603145796,244.033513041697,130.800355106361,74.3083718799822,369.450237326506,110.879095798858,133.133613116532,77.299911120025,164.767238132665,133.170414823522,267.963496260956,686.701666267931,433.851472689085,90.2220428773793,283.082014319907
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales",199.361632250913,148.200423429781,194.43110204229,525.116532080321,142.950953600985,154.397306559443,77.8567972907596,140.447400655567,138.506895664734,31.7604355716878,147.026289987837,118.843684911394,41.2824288222123,354.190938236978,91.2069981571248,99.981563166559,53.0653443905036,135.037497339163,127.746156463637,218.135735528371,638.51929767348,392.471977035276,74.8064468281764,227.314047195089
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae",147.222279239706,122.512350035286,58.1447841239459,307.57904016957,95.7168747430823,50.5622035489852,62.4987905176584,101.423589013661,99.503353845545,14.7791893526921,86.7696137633135,81.7606787994674,31.6085796682072,217.795410745615,86.2710900215627,77.0266124395429,41.7377736312394,90.9300240703444,36.7842670213753,195.230659374289,429.071009183386,312.565663079548,53.8548381977743,158.514488436148
