"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22","Sample 23","Sample 24"
"Bacteria",7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
"Bacteria.Actinobacteria",0,8.51295814811708,2.66615882689012,18.7878487536548,0,1.42277001126021,6.51619789356716,3.83566898176687,17.6214780644065,21.1347780184377,50.5934209135295,55.539629005059,7.34664475394703,0,0,1.16550116550117,0.834028356964137,4.47781023597895,7.23357144863357,24.2612450870979,0.449611407283705,159.106909383486,10.8370360520758,3.59169302381095
"Bacteria.Actinobacteria.Actinobacteria",0,8.51295814811708,2.66615882689012,18.7878487536548,0,1.42277001126021,6.51619789356716,3.83566898176687,17.6214780644065,21.1347780184377,50.5934209135295,55.539629005059,7.34664475394703,0,0,1.16550116550117,0.834028356964137,4.47781023597895,7.23357144863357,24.2612450870979,0.449611407283705,159.106909383486,10.8370360520758,3.59169302381095
"Bacteria.Actinobacteria.Actinobacteria.ActinobacteriaU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.ActinobacteriaU.ActinobacteriaUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.ActinobacteriaU.ActinobacteriaUU.ActinobacteriaUUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales",0,0,0,0,0,0,0,0,0,9.14265811900694,1.51025137055312,0.34718777899018,0,0,0,0,0,0.287039117690958,2.45761204370336,1.61741633913986,0,0,0.604408034136966,0.834636271408963
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae",0,0,0,0,0,0,0,0,0,3.04755270633565,0,0.34718777899018,0,0,0,0,0,0,0.819204014567788,0,0,0,0.604408034136966,0.246464164229874
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces",0,0,0,0,0,0,0,0,0,3.04755270633565,0,0.34718777899018,0,0,0,0,0,0,0.819204014567788,0,0,0,0.604408034136966,0.24479322074357
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Mobiluncus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Varibaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.ActinomycetalesU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.ActinomycetalesU.ActinomycetalesUU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae",0,0,0,0,0,0,0,0,0,0,1.44984131573099,0,0,0,0,0,0,0,0,1.21306225435489,0,0,0,0.166258876887271
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Corynebacteriaceae.Corynebacterium",0,0,0,0,0,0,0,0,0,0,1.4271875451727,0,0,0,0,0,0,0,0,1.21306225435489,0,0,0,0.166258876887271
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Intrasporangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria.Actinobacteria.Actinomycetales.Intrasporangiaceae.Ornithinimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
