"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20","Sample 21","Sample 22"
"Bacteria",11434.93,3807.98,2642,1979,4045,3075,2714,4705.99,5952,3159,3986.97,2860,6765,15985.96,10055.98,7699.92,14972.94,10661.97,11540.98,11657.99,13385.99,2764.99
"Bacteria.Acidobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp3.Gp3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp3.Gp3.Gp3U",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp3.Gp3.Gp3U.Gp3UU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp4.Gp4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp4.Gp4.Gp4U",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Acidobacteria.Acidobacteria_Gp4.Gp4.Gp4U.Gp4UU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria.Actinobacteria",2400,290,133.98,126.99,326.93,59,112,237,135,118,41,158,84,900.9,531.99,532,1388.88,680.99,754.93,143,590.99,189
"Bacteria.Actinobacteria.Actinobacteria",2400,290,133.98,126.99,326.93,59,112,237,135,118,41,158,84,900.9,531.99,532,1388.88,680.99,754.93,143,590.99,189
